,Unnamed: 0,tweet,topic_1,compound_score,positive_score,negative_score,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sentiment,lang
0,0,AnnCoulter St1Station Nah. Plenty of beauty queens in Ukrainian army. https://t.co/Xy129CIEQE https://t.co/DxiWQmxztU ,Ukrainian,0.5267,0.25,0.092,0,0,0,0,0,0,1,en
1,1,RT lapatina: Zelensky signed an official request to join the European Union. We are living history ,Zelensky,0.296,0.128,0.0,0,0,0,0,0,0,1,en
2,2,"RT scottlincicome: The centralizedstate responses to Ukraine are obvs important, but dont sleep on the private, bottomup, decentralized ",Ukraine,0.1027,0.076,0.0,0,0,0,0,0,0,1,en
3,3,RT SayTheirNames14: Hearing from friends on the ground in Ukraine that they are desperately in need of night vision tech (binoculars or go ,Ukraine,0.3612,0.184,0.094,0,0,0,0,0,0,1,en
4,4,Everyone should listen to what Putin has to say. Very important. RussiaUkraine https://t.co/TiHMSz4SHu ,Putin,0.2716,0.149,0.0,Ukraine,Russia,0,0,0,0,1,en
5,5,RT KyivIndependent: President Zelensky orders to temporarily lift visas for foreigners wishing to join the International Legion and figh ,Kyiv,0.4767,0.194,0.0,Zelensky,0,0,0,0,0,1,en
6,6,"RT ProjectLincoln: Hey MarcoRubio, where was all this energy when Trump was withholding aid from Ukraine ",Ukraine,0.3346,0.137,0.0,0,0,0,0,0,0,1,en
7,7,"nathaliejacoby1 At this point, any repug trying to sound like they care for Ukraine or even democracy is like poop https://t.co/3kIqAlaPjc ",Ukraine,0.802,0.313,0.0,0,0,0,0,0,0,1,en
9,9,"jaiazee JokerNov shareitarie10 selectedwisdom I dont agree. If US gets involved now, it would motivate Russia https://t.co/tktZjv4AWC ",Russia,0.1255,0.139,0.113,0,0,0,0,0,0,1,en
10,10,RT phildstewart: BREAKING The EU has asked its satellite centre in Madrid to provide intelligence to Ukraine about Russian troop movemen ,Ukraine,0.4767,0.134,0.0,Russian,Russia,0,0,0,0,1,en
11,11,RT spectatorindex: BREAKING: The Jerusalem Post reports that Russian billionaire Roman Abramovich is involved in RussiaUkraine peace talks ,Ukraine,0.5423,0.171,0.0,Russian,Russia,0,0,0,0,1,en
